epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,921.95,1.39067,0.79846,1.71675,0.97172,0.98864,0.99086,0.52672,1.49175,0.60933,1.85452,0.003862,0.003862,0.003862
64,936.534,1.38594,0.76342,1.69828,0.96168,0.9697,0.97753,0.5035,1.51538,0.65256,1.88968,0.003763,0.003763,0.003763
65,951.126,1.38185,0.77451,1.7071,0.99801,0.99242,0.995,0.54661,1.466,0.61561,1.84709,0.003664,0.003664,0.003664
66,965.671,1.3579,0.77659,1.67537,0.99418,0.99621,0.995,0.54415,1.51234,0.58571,1.85737,0.003565,0.003565,0.003565
67,980.24,1.39067,0.75726,1.69932,0.99165,0.99242,0.99477,0.55444,1.479,0.58319,1.83344,0.003466,0.003466,0.003466
68,994.808,1.37304,0.76961,1.68747,0.97033,0.97348,0.96306,0.53273,1.45502,0.62423,1.81017,0.003367,0.003367,0.003367
69,1009.37,1.36888,0.75787,1.67423,0.99239,0.98732,0.99318,0.54743,1.47805,0.59769,1.83865,0.003268,0.003268,0.003268
70,1023.93,1.36559,0.75908,1.67332,0.97714,0.98485,0.99384,0.55116,1.4668,0.58374,1.82911,0.003169,0.003169,0.003169
71,1038.59,1.36944,0.77093,1.66072,0.97611,0.97727,0.97898,0.54861,1.45861,0.58621,1.82248,0.00307,0.00307,0.00307
72,1053.16,1.37717,0.75222,1.68934,0.99069,0.98864,0.99418,0.54988,1.49095,0.60246,1.8538,0.002971,0.002971,0.002971
73,1067.69,1.36751,0.72407,1.68951,0.97649,0.98106,0.97962,0.55487,1.484,0.55062,1.83002,0.002872,0.002872,0.002872
74,1082.22,1.35069,0.72864,1.66936,0.99507,0.99242,0.99458,0.55543,1.50474,0.57514,1.81379,0.002773,0.002773,0.002773
75,1096.74,1.37734,0.73406,1.67347,1,0.99593,0.995,0.57015,1.46762,0.53548,1.82165,0.002674,0.002674,0.002674
76,1111.31,1.34912,0.73807,1.65865,0.99894,0.99621,0.995,0.56297,1.46672,0.56242,1.78868,0.002575,0.002575,0.002575
77,1125.83,1.32578,0.70575,1.62445,0.99126,0.99242,0.99477,0.57668,1.45924,0.54143,1.7949,0.002476,0.002476,0.002476
78,1140.39,1.35517,0.70531,1.66002,0.99179,0.99242,0.99179,0.54161,1.49835,0.58102,1.8309,0.002377,0.002377,0.002377
79,1155.01,1.33759,0.7148,1.64427,0.98843,0.98864,0.98847,0.55266,1.45937,0.5571,1.80808,0.002278,0.002278,0.002278
80,1169.56,1.35425,0.72141,1.64481,0.9924,0.98862,0.99333,0.56671,1.49494,0.55697,1.82185,0.002179,0.002179,0.002179
81,1184.08,1.33697,0.71061,1.64077,0.99481,0.99242,0.9947,0.56531,1.46072,0.57154,1.80685,0.00208,0.00208,0.00208
82,1198.62,1.33466,0.70683,1.6453,0.99136,0.98864,0.99129,0.55858,1.50325,0.56023,1.82936,0.001981,0.001981,0.001981
83,1213.16,1.32685,0.70871,1.62986,0.98228,0.98106,0.97427,0.53669,1.50173,0.57475,1.84573,0.001882,0.001882,0.001882
84,1227.72,1.32578,0.71579,1.64927,0.98818,0.98485,0.9833,0.54614,1.5143,0.56138,1.84086,0.001783,0.001783,0.001783
85,1242.24,1.31463,0.70676,1.64589,0.98438,0.98106,0.9754,0.56327,1.46413,0.54176,1.78887,0.001684,0.001684,0.001684
86,1285.22,1.33495,0.64672,1.69042,0.9989,0.99621,0.995,0.59761,1.38355,0.53832,1.74497,0.001585,0.001585,0.001585
87,1299.75,1.33624,0.64342,1.67618,0.99938,0.99621,0.995,0.5935,1.42929,0.55443,1.77512,0.001486,0.001486,0.001486
88,1314.18,1.32484,0.63827,1.69264,0.99622,0.99956,0.995,0.60258,1.42541,0.53167,1.76953,0.001387,0.001387,0.001387
89,1328.71,1.31789,0.6394,1.68774,0.99365,0.99621,0.995,0.60112,1.39918,0.53199,1.75524,0.001288,0.001288,0.001288
90,1343.19,1.29959,0.64153,1.67185,0.99248,0.99957,0.995,0.60347,1.42783,0.52021,1.77433,0.001189,0.001189,0.001189
91,1357.68,1.31154,0.63128,1.67136,0.99242,0.99194,0.99134,0.59664,1.40313,0.52637,1.74643,0.00109,0.00109,0.00109
92,1372.21,1.32253,0.64947,1.6784,0.99752,0.99621,0.995,0.58891,1.41716,0.53844,1.76301,0.000991,0.000991,0.000991
93,1386.68,1.29932,0.61985,1.66586,0.9955,0.99621,0.99496,0.59441,1.43322,0.53401,1.77072,0.000892,0.000892,0.000892
94,1401.26,1.28453,0.60575,1.65148,0.99587,0.99621,0.995,0.59663,1.42019,0.52431,1.77229,0.000793,0.000793,0.000793
95,1415.78,1.29318,0.62692,1.66148,0.99932,0.99621,0.995,0.58211,1.44528,0.51977,1.79293,0.000694,0.000694,0.000694
96,1430.29,1.29412,0.6111,1.65779,0.98861,0.99621,0.99428,0.56851,1.47852,0.52449,1.81813,0.000595,0.000595,0.000595
97,1444.77,1.2766,0.59312,1.65418,0.99326,0.99621,0.99496,0.59772,1.41573,0.5041,1.78015,0.000496,0.000496,0.000496
98,1459.3,1.28898,0.60218,1.65263,0.99288,0.99621,0.99496,0.59855,1.4169,0.50736,1.76514,0.000397,0.000397,0.000397
99,1473.8,1.26009,0.59943,1.63334,0.99319,0.99621,0.99496,0.59017,1.4266,0.50562,1.77537,0.000298,0.000298,0.000298
100,1488.3,1.26372,0.59159,1.63982,0.9953,0.99621,0.99496,0.5941,1.42809,0.50635,1.77668,0.000199,0.000199,0.000199
